OBJECTID,StreetID,Name,Type,LeftFrom,LeftTo,RightTo,SegmentID,Surface,Class,Curb,Width,Miles,Cross1,Cross12,Cross2,Cross22,GlobalID
1,1657.0,I 40, ,0,0,263,1,,Interstate,,,0.50188,NEW HOPE CHURCH RD,NEW HOPE CHURCH RD, , ,{BB7FBEE6-DD8A-44AE-82A1-FEA18A51888F}
2,2988.0,I 40, ,263,263,0,2,,Interstate,,,0.52905,NEW HOPE CHURCH RD,NEW HOPE CHURCH RD, , ,{5C477ECF-BB73-4898-8BA8-124C1B400C18}
3,4223.0,TRADITIONAL,WAY,5901,5971,5970,3,Unpaved,Private,No,,0.06501, , , , ,{465DB911-A978-49F2-A419-07095BD416B5}
4,4222.0,FAMILIAR,WAY,5601,5683,5684,4,Unpaved,Private,No,,0.08182,NEW HOPE CHURCH RD, , , ,{0638A2A5-2CE8-4910-A019-F9CD99FDE35D}
5,4222.0,FAMILIAR,WAY,5685,5763,5764,5,Unpaved,Private,No,,0.07823, , , , ,{7845847C-A0B5-4A6C-A41A-C8F5ACB8FDF7}
6,1659.0,NC 86, ,6114,6198,6199,6,Asphalt,Major Coll,No,,0.08008,OLD FARM MOBILE HOME PK, ,MILLHOUSE RD,MT SINAI RD,{D952E7C5-0495-421A-A017-FAC58757A9C6}
7,4664.0,NEAL TAPPS,RD,5901,5959,5958,7,BST,Private,No,,0.20204,NC 86 S,NC 86 S, , ,{1E4C210D-EE7A-480D-8D33-DB831C8096F8}
8,1659.0,NC 86, ,6900,7106,7105,9,Asphalt,Minor Art,No,,0.30564,CLYDE RD, ,HILLTOP MOBILE HOME PK, ,{DB25354A-6C5B-4C38-9386-8DAE5848763A}
9,4519.0,MARY KATHRYN,LN,101,103,104,10,Unpaved,Private,No,,0.01216,NC 86 S,NC 86 S, , ,{12F93B64-E98F-4BF7-89BD-711097FCD461}
10,2988.0,I 40, ,265,265,0,26906,BST,Interstate,,,0.99302, , ,40,MILLHOUSE RD,{D4DBD58D-D303-41EB-9FB8-C03B2A2D0D92}
11,4519.0,MARY KATHRYN,LN,105,139,140,12,Unpaved,Private,No,,0.09648,Old Moze Trail, , , ,{0D884DF7-F522-4610-B2BF-21BA392C14ED}
12,1068.0,HIDEAWAY,DR,5900,5920,5921,13,BST,Local,,,0.13214, , ,NC 86,NC 86,{E480B6EA-A80B-4A26-9248-FC7EFFE1AEF6}
13,1980.0,NC HWY 54,FWY,0,0,0,15,Asphalt,Prin Art,No,,0.18374, , , , ,{A3EB3E5A-4798-43A0-9AAC-4E27111A5F00}
14,1980.0,NC HWY 54,FWY,0,0,0,16,Asphalt,Prin Art,No,,0.18317, , , , ,{20DDC2E2-E2B4-46AE-8AE6-42C10B0531C3}
15,1980.0,NC HWY 54,FWY,0,0,0,18,Asphalt,Prin Art,No,,0.2138, , , , ,{99749AEE-F97C-4F6C-8CC1-D3CA70290805}
16,1980.0,NC HWY 54,FWY,0,0,0,19,Asphalt,Prin Art,No,,0.21429, , , , ,{9BB297D9-9720-4AA8-9227-DE8AC526FBB4}
17,1236.0,JULIETTE,CT,101,107,108,20,BST,Local,Y,,0.04418, , , , ,{FE344DE7-FD65-4242-82B7-B525A42578F2}
18,1657.0,I 40, ,0,0,265,26905,BST,Interstate,,,1.00123, , ,MILL HOUSE RD,MILLHOUSE RD,{8C0D5D62-3AE4-42D2-90EE-707A060E8909}
19,1659.0,NC 86, ,0,0,0,22,Asphalt,Prin Art,No,,0.2233,I-40,I-40,I-40,I-40,{E52BCA62-B658-483F-B09B-F1B511E66443}
20,1659.0,NC 86, ,0,0,7501,23,Asphalt,Prin Art,No,,0.21442,I-40,I-40,I-40,AIRPORT RD,{B682E72C-F23B-45EF-98E2-69F10B270332}
21,2988.0,I 40, ,266,266,0,24,BST,Interstate,,,0.58394, , ,NC 86,NC 86,{11F0D8D7-B513-410B-8A78-FB5865659CD3}
22,1544.0,MENDEL,DR,51,99,98,25,BST,Local,Y,27.0,0.04162, , ,OLD FOREST CREEK DR,OLD FOREST CREEK DR,{5F41A5D9-5566-4106-8C8F-3C61CB491B8F}
23,1980.0,NC HWY 54,FWY,0,0,0,26,Asphalt,Prin Art,No,,0.07219, , , , ,{B2379E91-D667-44A4-B30A-AF5F2FF0FF44}
24,3321.0,TIMS,LN,2,2,1,27,Unpaved,Private,,,0.05598,CARR STORE RD,CARR STORE RD, , ,{B019B909-EFB7-4A3A-8919-07D235AD58EB}
25,3227.0,PUREFOY,DR,1600,1706,1707,28,BST,Local,No,,0.16567,EDGAR ST, ,ROGERS RD,ROGERS RD,{1D5D2772-A55D-4201-8E84-01A17524C5A3}
26,2444.0,TREMONT,CIR,101,131,120,33,BST,Local,Y,27.0,0.21515,LONEBROOK DR,LONEBROOK DR,ASTER PL,WEYMOUTH PL,{EA78CCB9-ED0F-46F8-9330-36962D9A1335}
27,2444.0,TREMONT,CIR,217,221,220,34,BST,Local,Y,27.0,0.05584,FOXGLEN PL, ,LONEBROOK DR,LONEBROOK DR,{8EC09E94-F9EB-400F-9AB9-A99EEA80383B}
28,1405.0,LONEBROOK,DR,103,121,120,35,BST,Local,Y,33.0,0.15457,TREMONT CIR, ,TREMONT CIR, ,{F0D8ADBE-E360-4CA5-8238-5580229B3E57}
29,2444.0,TREMONT,CIR,201,215,216,36,BST,Local,Y,27.0,0.11746,ASTER PL,WEYMOUTH PL,MACRAE CT, ,{365E276F-ADC7-4516-8AD6-8C1E5AD1ECD4}
30,497.0,ASTER,PL,101,107,106,37,BST,Local,Y,27.0,0.05768, , ,WEYMOUTH PL,TREMONT CIR,{F1E8F8A3-3451-41E7-8F8A-6E0FE6B244C8}
31,1431.0,MACRAE,CT,101,111,110,38,BST,Local,Y,27.0,0.0781, , ,TREMONT CIR,TREMONT CIR,{7C318B99-2E9A-4531-8D93-3A60F329CA94}
32,2612.0,WEYMOUTH,PL,101,105,106,39,BST,Local,Y,27.0,0.03803,TREMONT CIR,ASTER PL, , ,{8CD2AC75-B7DA-42A8-9571-749698BDB7A5}
33,3229.0,KORINNA,PL,101,107,108,40,BST,Local,Y,,0.03358, , , , ,{D839AA3D-FFC6-438A-A26B-707E6E9D1581}
34,1405.0,LONEBROOK,DR,301,307,306,41,BST,Local,Y,,0.0697, , , , ,{A85F29B4-5AE8-473A-BEDE-D6C07E9094E5}
35,1405.0,LONEBROOK,DR,401,403,402,42,BST,Local,Y,,0.03599, , , , ,{D005FEA9-7594-4D0B-9F52-5F050D5985EE}
36,1405.0,LONEBROOK,DR,201,203,202,43,BST,Local,Y,33.0,0.08246,TREMONT CIR, , , ,{7C98981F-65CE-4298-8720-9968413A2F68}
37,1255.0,KENILWORTH,PL,201,207,206,44,BST,Local,Y,,0.06748,GLENMORE RD, , , ,{41924105-42E6-437E-8276-C858CE441A67}
38,1255.0,KENILWORTH,PL,101,109,118,45,BST,Local,Y,,0.09681, , , , ,{C1C60A1D-7BD6-4EDA-89C9-7D1B1847D1F4}
39,1405.0,LONEBROOK,DR,501,511,508,46,BST,Local,Y,,0.09875,JULIETTE CT, ,NEW PARKSIDE DR, ,{F20DAAA6-4AFC-4CFE-AE66-8F7011E1A996}
40,1674.0,NEW PARKSIDE,DR,301,305,304,47,BST,Local,Y,,0.05488, , , , ,{9D3667AF-CF13-44E4-98DB-9FCC9D21E376}
41,1068.0,HIDEAWAY,DR,5700,5722,5721,48,BST,Local,,,0.12678, , ,NC 86,NC 86,{5EC52FEF-0C22-452B-A3D8-9013722C16D0}
42,1659.0,NC 86, ,6000,6112,6113,49,Asphalt,Major Coll,No,,0.18308,HIDEAWAY DR, ,OLD FARM MOBILE HOME PK, ,{1F06CCF6-1DEC-471F-BF85-446DF73ED9DC}
43,3170.0,STONEYWOOD,DR,26,50,49,50,Unpaved,Private,No,,0.05461,HIDEAWAY DR,HIDEAWAY DR, , ,{2F5CA6E6-29A8-471B-93DE-128892096A4C}
44,3170.0,STONEYWOOD,RD,2,24,25,51,Unpaved,Private,No,,0.03291,HIDEAWAY DR,HIDEAWAY DR, , ,{71C79FE8-11BB-45AD-AB87-C4EB142887D3}
45,1068.0,HIDEAWAY,DR,5630,5634,5635,52,BST,Local,,,0.05971,STONEYWOOD RD, , , ,{252906E0-B5D7-4CFF-8450-EF96A9EC0935}
46,1068.0,HIDEAWAY,DR,5604,5622,5623,53,BST,Local,,,0.1265,MEADOW GREER, ,STONEYWOOD RD, ,{18BC8823-337D-4DF7-860D-8820460A6D87}
47,1068.0,HIDEAWAY,DR,5500,5526,5525,54,BST,Local,,,0.13982, , ,MEADOW GREER, ,{C79EE14F-6B4B-4FBE-9CE6-38E15C19CFD1}
48,1068.0,HIDEAWAY,DR,5304,5324,5325,55,BST,Local,,,0.1236, , ,MEADOW GREER, ,{74287E7D-4E6A-4D4E-B57E-664763F04ACF}
49,1518.0,MEADOW GREER,RD,6000,6026,6027,57,BST,Private,No,,0.11899,HIDEAWAY DR, , ,HIDEAWAY DR,{CDBC84B4-166D-4D37-A520-65CB60C52516}
50,1659.0,NC 86, ,5120,5298,5299,58,Asphalt,Major Coll,No,,0.16554,NEW HOPE DR, , , ,{21CD6320-6431-41F7-8C2D-B0E2F73C3DC4}
51,1659.0,NC 86, ,4802,5118,5119,59,Asphalt,Major Coll,No,,0.35992,NEW HOPE CAMP CIRCLE, ,NEW HOPE DR, ,{41EF0401-593B-49FB-9450-CEF836C2CE09}
52,1659.0,NC 86, ,4702,4800,4801,60,Asphalt,Major Coll,No,,0.15394,NEW HOPE CAMP CIRCLE, ,NEW HOPE CAMP CIRCLE, ,{2073846D-C3BD-4E94-96FE-CD5DD7E88316}
53,1659.0,NC 86, ,4400,4700,4701,61,Asphalt,Major Coll,No,,0.34216,NEW HOPE CHURCH RD,NEW HOPE CHURCH RD,NEW HOPE CAMP CIRCLE, ,{25406430-CEE6-42AF-875F-EA7EF747BADE}
54,1667.0,NEW HOPE CHURCH,RD,1210,1250,1251,62,Asphalt,Local,No,,0.07402,HOMER-RUFFIN RD, ,40,40,{DC1F0FD2-5B1C-4330-B55C-C73FABB2DE4F}
55,2269.0,SPRING HOUSE,LN,5400,5410,5409,63,BST,Local,No,,0.07576,NEW HOPE CHURCH RD, ,WOOD LOT RIDGE, ,{7B06B3CD-77B4-4697-AB70-90B7337A2D60}
56,2269.0,SPRING HOUSE,LN,5500,5550,5549,64,BST,Local,No,,0.17735,WOOD LOT RIDGE, , , ,{9D3D187F-05F9-4318-BC9D-36DE56A339FD}
57,1671.0,NEW JERICHO,RD,6000,6050,6049,68,BST,Private,No,,0.21942, , ,GALILEAN TRL, ,{5DCE92B0-C86B-4F3D-91FA-B7C7ECB77D9F}
58,1564.0,MILLHOUSE,RD,5900,6282,6283,69,,Local,,,0.58511,MT SINAI RD,NC 86,I-40,40,{1CD5AFA7-B0C3-4589-AD1A-B5725240080C}
59,1564.0,MILLHOUSE,RD,6400,6414,6415,70,,Local,,,0.12165,NEW JERICHO RD, ,BLACKWOOD MOUNTAIN RD, ,{320C7281-D18F-4F06-B8E2-C1952E701BF0}
60,57.0,BLACKWOOD MOUNTAIN,RD,1300,1330,1331,71,,Local,,,0.13788,HEARTWOOD DR, ,PATHWAY CT, ,{84DAD507-C04F-464F-9394-6FEE9B33A544}
61,1048.0,HEARTWOOD,DR,6400,6430,6431,72,,Local,,,0.16399,BLACKWOOD MOUNTAIN RD, ,BLACKWOOD MOUNTAIN RD,BLACKWOOD MOUNTAIN RD,{DE8D214B-8E07-40FA-9B5D-D74AFFDE985B}
62,57.0,BLACKWOOD MOUNTAIN,RD,1400,1498,1499,73,,Local,,,0.13849,PATHWAY CT, ,MILL HOUSE RD,MILL HOUSE RD,{0C547FE3-2A1A-42CE-A47E-AB97910AA0DA}
63,57.0,BLACKWOOD MOUNTAIN,RD,1000,1020,1019,74,,Local,,,0.09646, , ,HEARTWOOD DR, ,{18F36466-0238-4DA8-87C1-38F0828728FC}
64,1659.0,NC 86, ,6500,6698,6699,77,Asphalt,Major Coll,No,,0.25664,HOMESTEAD MOBILE HOME PK, ,ALEXANDER DR, ,{80D8E173-D94E-40EB-A80E-B866BD40245C}
65,1659.0,NC 86, ,6200,6350,6349,78,Asphalt,Major Coll,No,,0.22899,MILLHOUSE RD,MT SINAI RD,MEDRANO CT, ,{1AF53B5D-9105-49DC-9866-D87427E69FBD}
66,1068.0,HIDEAWAY,DR,5214,5220,1,79,BST,Local,,,0.007, , ,MEADOW GREER, ,{F2377E2A-F604-46EF-A1DC-DE1DE55C2AB5}
67,780.0,EUBANKS,RD,300,698,699,26510,BST,Arterial,,,0.3836,DROMOLAND RD, ,LEAK RD, ,{D1C1EA21-2F30-4A56-894B-342AFC7FA5FC}
68,780.0,EUBANKS,RD,700,898,899,81,BST,Arterial,,,0.22883,LEAK RD, ,ROGERS RD, ,{E483926A-EFDE-4641-9AFC-C44051A9D19E}
69,4522.0,HURRICANE,ALY,501,527,528,85,Unpaved,Private,No,,0.08759, , , , ,{3D78A789-65BA-4B7A-BEA7-D533BE29A83A}
70,2491.0,US 70,,3800,3900,3901,86,,Major Coll,,,0.13966,EFLAND ST,EFLAND-CEDAR GROVE RD,HARDING RD, ,{380E2A48-B1A4-4094-ABD6-D6EBF7FF30DC}
71,1667.0,NEW HOPE CHURCH,RD,1016,1198,1199,88,Asphalt,Local,No,,0.18147,SPRING HOUSE LN, ,NELLO TEER RD, ,{BD33016A-979E-403E-874F-7DF75448310F}
72,1667.0,NEW HOPE CHURCH,RD,1200,1208,1209,89,Asphalt,Local,No,,0.03872,NELLO TEER RD, ,HOMER-RUFFIN RD, ,{99EC9ABD-F75C-4C60-ABC0-BBF33E36A8B1}
73,1674.0,NEW PARKSIDE,DR,307,309,310,91,BST,Local,Y,,0.05361, , ,LONEBROOK DR, ,{10C9E5B0-BB52-44BD-969C-E4D97E0D108F}
74,1674.0,NEW PARKSIDE,DR,201,205,204,92,BST,Local,Y,,0.0485, , ,GLENMORE RD, ,{CBB47387-604A-496B-881A-E3EDCCEEB424}
75,1674.0,NEW PARKSIDE,DR,101,105,104,93,BST,Local,Y,,0.05638,AIRPORT RD, , , ,{D24AB255-A8D2-4AF5-B909-418993CB6A3F}
76,918.0,GLENMORE,RD,201,213,218,94,BST,Local,Y,,0.13702, , , , ,{F7E3488F-55A0-42A7-853B-5B2AB0B88A6E}
77,918.0,GLENMORE,RD,101,117,118,95,BST,Local,Y,,0.17561,NEW PARKSIDE DR, ,KENILWORTH PL, ,{1F2F5512-410E-463B-AF4C-E24F9078C879}
78,557.0,MARTIN LUTHER KING JR,BLVD,0,0,7699,96,Asphalt,Prin Art,No,,0.08402,NC 86,I-40,NC 86, ,{A1A907C0-BB72-4527-8FFC-8BEEA3E7243E}
79,3384.0,RIGSBEE MOBILE HOME,PARK,1,1,2,101,BST,Private,,,0.18949, , , , ,{159BF4B6-7156-4CEA-8A81-8566611D411A}
80,1667.0,NEW HOPE CHURCH,RD,414,506,507,102,Asphalt,Local,No,,0.11313,SWEET BUSH RD, ,WALNUT COVE RD, ,{8A00F7DA-B8E6-4694-AB51-5517B4C7358C}
81,1667.0,NEW HOPE CHURCH,RD,508,600,601,103,Asphalt,Local,No,,0.08583,WALNUT COVE RD, ,WOODCREST MOBILE HOME PK, ,{09A21CA3-A9EB-4985-ADFE-EF69A52DF8FE}
82,1675.0,NEW RISE,CT,5500,5520,5521,105,BST,Private,No,,0.08828,NEW HOPE CHURCH RD,NEW HOPE CHURCH RD, , ,{22F6A9D7-A43F-4D33-940E-49482261C65C}
83,1667.0,NEW HOPE CHURCH,RD,312,412,413,106,Asphalt,Local,No,,0.07776,ELM GROVE LN, ,SWEET BUSH RD, ,{E845802A-DE2F-451A-8732-B7A281CFFA3A}
84,1667.0,NEW HOPE CHURCH,RD,308,310,309,107,,Local,,,0.02604,NEW RISE CT, ,ELM GROVE LN, ,{5D7BBDA3-22E9-4DAB-B23C-70D149667866}
85,624.0,DARCY,LN,100,120,119,108,BST,Private,No,,0.09738,OLD NC 86,OLD NC 86, , ,{7743638E-0357-4720-97A2-0248C03434A2}
86,1024.0,HARRISON,CT,101,109,108,109,BST,Local,Y,,0.05595,PALAFOX RD, , , ,{7AA00576-785D-4E94-8E2F-05237DEC6E1E}
87,1817.0,PALAFOX,DR,201,205,204,110,BST,Local,Y,,0.04683,CAMILLE CT, ,HARRISON CT, ,{FCF67944-0462-4AAD-8912-C0BA355EA518}
88,1674.0,NEW PARKSIDE,DR,401,451,450,111,BST,Local,Y,,0.30556,LONEBROOK DR, ,PALAFOX DR, ,{AEEF79A1-6020-4DF9-9FB2-A55562FD597A}
89,1817.0,PALAFOX,DR,501,513,506,112,BST,Local,Y,,0.08826,MADDRY CT, ,NEW PARKSIDE DR, ,{6A62DEF4-5304-4E55-8CB9-A9B545FF2C8A}
90,1432.0,MADDRY,CT,101,111,112,113,BST,Local,Y,,0.07784,PALAF0X DR, , , ,{14D314E1-548C-4BC5-8986-357CE566159D}
91,1068.0,HIDEAWAY,DR,5800,5820,5819,114,BST,Local,,,0.13261, , ,NC 86,NC 86,{A3D33DFE-2799-4691-AEFF-66808132ECA8}
92,1068.0,HIDEAWAY,DR,5402,5424,5425,115,BST,Local,,,0.14077, , ,MEADOW GREER, ,{58DE2809-E726-4262-A933-07120E03D78E}
93,1667.0,NEW HOPE CHURCH,RD,952,1014,1015,27154,Asphalt,Local,No,,0.12828,QUARTZ MINE TRL, ,SPRING HOUSE LN, ,{CE50DF78-D88D-4F60-A467-6621E339E2A6}
94,2703.0,WOODLOT RIDGE,RD,1000,1012,1013,122,BST,Local,No,,0.09617, , ,SPRING HOUSE LN, ,{7EE177BB-9CC1-47B4-A59A-55988DCB9FD1}
95,2908.0,PEPPER BUSH,CT,2004,2004,2003,123,Unpaved,Private,No,,0.06901,LINDEN RD, , , ,{15FC5B20-154B-43EA-A7C8-518BA3DE8543}
96,1637.0,FORDHAM,BLVD,0,0,0,125,BST,Arterial,,,0.11257, ,FORDHAM BLVD, , ,{F8AC22AB-386F-4A1D-A7FB-EF5C622B76F6}
97,3755.0,I 40 E EXIT 270, ,0,0,0,126,BST,Local,,,0.01021, , ,SUNRISE RD,SUNRISE RD,{5A9FD313-8641-4912-AD46-63C14322C247}
98,3755.0,I 40 W EXIT 270, ,0,0,0,127,BST,Arterial,No,,0.01082, , ,SUNRISE RD,SUNRISE RD,{CCB99EF9-3F56-4E29-A850-E323F815953C}
99,1657.0,I 40, ,0,0,0,128,,Interstate,,,0.63311, , , , ,{7CAC1791-C76B-4521-8078-486F0CCE59CA}
100,1767.0,OLD SAWMILL,RD,1100,1240,1239,150,Unpaved,Private,No,,0.17922,,,BETHEL HICKORY GROVE CHURCH RD,BETHEL HICKORY GROVE CHURCH RD,{0BB0BEE9-8397-4D3A-9058-8B8DCF074DE3}
101,2745.0,MANNING,DR,451,499,498,153,BST,Arterial,Y,55.0,0.14847,RIDGE RD,SKIPPER BOWLES DR,SKIPPER BOWLES DR, ,{E74643E2-785B-4167-AA97-D6EE6C7ED849}
102,2745.0,MANNING,DR,501,597,598,154,BST,Arterial,Y,55.0,0.27458,RIDGE RD,SKIPPER BOWLES DR,SKIPPER BOWLES DR, ,{82932D1D-6129-4909-A8D8-028C51BCA378}
103,2741.0,EMERSON,DR,101,149,150,160,BST,Local,No,,0.0996,CAMERON AV,CAMERON AV,LENIOR DR,LENOIR DR,{23F5003D-F517-4D7B-978A-4F3AACCE3065}
104,911.0,GLANDON,DR,0,0,0,165,BST,Local,N,18.0,0.0541,GIMGHOUL RD, , , ,{F68E3E4E-A574-467E-81B1-663D5A816351}
105,911.0,GLANDON,DR,0,0,0,166,BST,Local,N,18.0,0.01304,GIMGHOUL RD, , , ,{53155E50-0BB6-4DDF-A572-7B6F5555353D}
106,911.0,GLANDON,DR,201,205,204,167,BST,Local,N,18.0,0.03962, , ,GIMGHOUL RD,GIMGHOUL RD,{50096E0A-D93F-4048-BD68-EC275373D397}
107,95.0,BOWMAN,RD,7700,8098,8099,173,Asphalt,Minor Coll,No,,0.32128,BEN WILSON RD,BEN WILSON RD, , ,{08D63D01-8E6C-4036-B75C-92AC94A72AC6}
108,95.0,BOWMAN,RD,4150,4298,4299,174,Asphalt,Minor Coll,No,,0.32111,MEBANE OAKS RD,MEBANE OAKS RD,,CAMPAIGN DR,{E03C58B9-04E9-4BAF-8796-6FA1F2392AF2}
109,809.0,FERN CREEK,LN,3700,3920,3919,175,BST,Private,No,,0.52171, , ,ORANGE GROVE RD, ,{57EAAF17-61A8-4E7A-8EC5-3FC73C75D229}
110,3588.0,FLORAL,DR,100,120,119,176,BST,Private,No,,0.26721, , ,ORANGE GROVE RD, ,{36FE70A6-64F9-474E-A3D5-144D0BE6BBBE}
111,3131.0,UMSTEAD RIDGE,RD,2,2,1,178,Unpaved,Private,No,,0.11156,BERRY ANDREWS RD,BERRY ANDREWS RD, , ,{A6461CD9-D56A-4027-A917-7DAAC3A64AA9}
112,29.0,BERRY ANDREWS,RD,4422,4598,4599,179,Unpaved,Private,No,,0.26843,UMSTEAD RIDGE RD, , , ,{C44E2B2B-1CCE-4108-B567-72665E5970C1}
113,4303.0,ALTON RILEY,RD,401,499,498,180,Unpaved,Private,No,,0.45571,ORANGE GROVE RD,ORANGE GROVE RD,ORANGE GROVE RD,ORANGE GROVE RD,{A8EB3149-B446-4836-952E-30FDB931B67A}
114,380.0,COLLINS CREEK,DR,9000,9098,9099,181,Unpaved,Private,No,,0.18756,ORANGE GROVE RD,ORANGE GROVE RD,CHARLES LN, ,{95C218D1-E2C4-472E-90A7-22D976262E85}
115,380.0,COLLINS CREEK,DR,9100,9198,9199,182,Unpaved,Private,No,,0.16607,CHARLES LN, ,BRACKEN LN, ,{0ED1794D-7F4C-4FE8-B4EC-23F87AC83A14}
116,380.0,COLLINS CREEK,DR,9200,9210,9211,183,Unpaved,Private,No,,0.02355,BRACKEN LN, ,BENT TREE LN, ,{4E16B8EB-769F-4B1E-A299-B249B784C308}
117,380.0,COLLINS CREEK,DR,9212,9624,9625,184,Unpaved,Private,No,,0.5061,BENT TREE LN, , , ,{3C2877BD-8818-4518-AB54-949EFFAC7721}
118,298.0,CHARLES,LN,9100,9314,9315,185,Unpaved,Private,No,,0.30883,COLLINS CREEK DR, ,LUCIELLE LN, ,{73A2A2E6-00AB-4C09-A73A-03BF3DEAA2FE}
119,2238.0,SYLVAN,WAY,301,323,324,186,Asphalt,Private,Yes,,0.21478,ROGERS RD, ,JUBILEE DR, ,{DCD968B5-B759-412C-BCD0-232C317652B3}
120,1234.0,JUBILEE,DR,201,203,204,187,Asphalt,Local,Yes,,0.05717,EZEKIEL PEPPERS TR, ,SYLVAN WAY, ,{8A261A09-3ABF-4B7C-B6ED-353B09BA8230}
121,1234.0,JUBILEE,DR,101,105,104,188,Asphalt,Local,Yes,,0.04349,EZEKIEL PEPPERS TR, , , ,{B2CA5866-D187-4122-AD46-AEDE291C7784}
122,1755.0,OLD NC 86, ,5500,5798,5799,189,,Major Coll,No,,0.31622,NEW HOPE CHURCH RD,ARTHUR MINNIS RD,MOUNTAIN CREEK RD, ,{5A572046-B593-4850-835E-A55574C9879D}
123,878.0,FULTON,WAY,101,103,102,190,BST,Local,Y,,0.03351,WEAVER DAIRY RD, ,WORSHAM DR, ,{CA8DD208-78C7-43F7-9F09-1ED338E71FEB}
124,1817.0,PALAFOX,DR,601,611,606,191,BST,Local,Y,,0.09252,NEW PARKSIDE DR, , , ,{771D3BFF-CE27-4CA5-B068-561605D336F1}
125,1817.0,PALAFOX,DR,701,705,704,192,BST,Local,Y,,0.03059,NEW PARKSIDE DR, , , ,{21D54BEB-36AD-4C32-B844-1D14D50462D9}
126,2712.0,WORSHAM,DR,201,207,206,193,BST,Local,Y,,0.07492,FULTON WAY, ,PALAFOX DR, ,{AE62500A-C35D-46B9-B1AF-CCC0BDAE7B70}
127,1347.0,LAURENS,WAY,101,103,102,194,BST,Local,Y,,0.03987,WEAVER DAIRY RD, ,WORSHAM DR, ,{819EB148-4A7B-4F52-892D-F27B14EB5161}
128,2712.0,WORSHAM,DR,101,119,116,195,BST,Local,Y,,0.16345,LAURENS WAY, ,FULTON WAY, ,{3C749F72-F1E1-4F59-A28C-0851FDD3212A}
129,331.0,CHRISTINE,CT,101,119,116,196,BST,Local,Y,,0.07333, , ,LAURENS WAY, ,{E766164E-EEEC-4EEE-B56F-EB9D9388CB07}
130,1347.0,LAURENS,WAY,201,205,206,197,BST,Local,Y,,0.05397,WORSHAM DR, ,CAITLIN CT, ,{DF70874B-F6F6-4F57-A8D4-266F9435F209}
131,1347.0,LAURENS,WAY,301,307,306,198,BST,Local,Y,,0.06761,CAITLIN CT, ,CHRISTINE CT, ,{778FEB1A-6EB8-43F7-B610-331805A42107}
132,1817.0,PALAFOX,DR,207,319,312,199,BST,Local,Y,,0.13814,HARRISON CT, ,MADDRY CT, ,{9EF9A33B-3986-460D-A02A-A6B306BCB1D0}
133,1817.0,PALAFOX,DR,401,413,414,200,BST,Local,Y,,0.06309,HARRISON CT, ,MADDRY CT, ,{AA3E1570-4945-404F-BF56-DDEA7BFDA0F2}
134,531.0,BARTON,LN,101,107,108,201,BST,Local,Y,,0.0526,ROWE RD, , , ,{47F101F6-C378-4942-BE47-406300C7CA74}
135,2092.0,ROWE,RD,101,109,106,202,BST,Local,Y,,0.07901,PALAFOX DR, ,MANORA LN, ,{96006870-F0B5-4A78-A10B-CB2BA967AAFA}
136,2092.0,ROWE,RD,201,207,206,203,BST,Local,Y,,0.05741,MANORA LN, ,BARTON LN, ,{35E65ABA-849C-4997-BC11-7A76703CD17B}
137,1452.0,MANORA,LN,101,109,108,204,BST,Local,Y,,0.05118,ROWE RD, , , ,{FDAE2557-CBE6-40C7-A3B0-637C1AFD5C49}
138,57.0,BLACKWOOD MOUNTAIN,RD,1100,1124,1125,205,,Local,,,0.13606,HEARTWOOD DR, ,HEARTWOOD DR, ,{075636B1-B9C4-4383-BC8A-CF268CEF7EE9}
139,57.0,BLACKWOOD MOUNTAIN,RD,1206,1224,1225,206,,Local,,,0.11433,HEARTWOOD DR, ,HEARTWOOD DR, ,{23884238-2FE5-4F08-A98B-6A4D8B62C752}
140,3267.0,TIMBER,TRL,6600,6698,6699,207,Unpaved,Private,No,,0.32691, , ,BIG HORN LN, ,{46866B37-6DA3-404C-9DE8-133FE65C8605}
141,3267.0,TIMBER,TRL,6700,6798,6799,208,Unpaved,Private,No,,0.0655,BIG HORN LN, , , ,{12907910-FBCA-4BEC-8EEF-FC8B7130523E}
142,1607.0,MOUNTAIN CREEK,RD,100,1198,1199,209,Unpaved,Private,No,,1.28667,OLD NC 86,OLD NC 86,CAMMIE RD, ,{4D775AA3-A538-4760-80F2-58158A21181A}
143,1607.0,MOUNTAIN CREEK,RD,1200,1220,1219,210,Unpaved,Private,No,,0.05409,CAMMIE RD,CAMMIE RD, , ,{2D4BB748-7B13-4897-AD2A-A24FE5B389B3}
144,2948.0,CAMMIE,RD,5800,5816,5817,211,Unpaved,Private,No,,0.0944,MOUNTAIN CREEK RD, ,WALMSLEY RD, ,{C47D6851-EBDE-49CF-91B6-357AC015B88A}
145,2949.0,WALMSLEY,RD,1200,1222,1221,212,Unpaved,Private,No,,0.14367, , ,CAMMIE RD, ,{40AAE118-6BDF-439E-8C82-7ACB806C5A31}
146,671.0,DOBBINS,DR,0,0,0,213,BST,Local,Y,25.0,0.05112,SUMMERFIELD,DOBBINS RD,FRANKLIN ST,FRANKLIN ST,{7768478D-0BFA-4541-B688-B3CF8D6731AB}
147,3817.0,BUTLER,CT,201,259,260,215,BST,Private,,,0.05995,FOXCROFT DR,FOXCROFT DR, , ,{D691B4A5-AEE4-4D79-90EB-7DDA24BA247C}
