OBJECTID,StreetID,Name,Type,LeftFrom,LeftTo,RightTo,SegmentID,Surface,Class,Curb,Width,Miles,Cross1,Cross12,Cross2,Cross22,GlobalID
5583,3936.0,A O SMITH,RD,0,0,0,8057,BST,Private,No,,0.08181,MCPHERSON DR, ,CEDAR LN, ,{D42552D9-1077-44C7-82FE-D019E41FF483}
5584,3942.0,SEVENTH,ST,0,0,0,8060,BST,Private,No,,0.10025,JACKSON ST,JACKSON ST,CIRCLE DR,CIRCLE DR,{03D2C359-AB99-4835-B52A-DDD03EF27BA3}
5585,3941.0,CIRCLE,DR,0,0,0,8061,BST,Private,No,,0.15709,S 7TH ST,,JACKSON ST,,{EDDC8ADA-2DDC-47D2-AD03-1696E4FF80CF}
5586,3940.0,JACKSON,ST,0,0,0,8062,BST,Private,No,,0.0814,S 5TH ST,,CIRCLE DR, ,{CCCC0397-DC1C-4A52-9DAD-A0E242BB7943}
5587,3940.0,JACKSON,ST,0,0,0,8063,BST,Private,No,,0.04419,CIRCLE DR,,S 7TH ST, ,{63B67B0C-6BB7-41BA-A868-A966D3265DC2}
5588,3941.0,CIRCLE,DR,0,0,0,8064,BST,Private,No,,0.14784,JACKSON ST,JACKSON ST,S 7TH ST,,{55633587-10DA-4E44-98FF-A4AF0959F528}
5589,3944.0,FOREST,ST,401,499,498,8065,BST,Private,No,,0.13875,S 8TH ST,S 8TH ST,S 9TH ST,S 9TH ST,{2209ABCE-E26E-4089-8F41-4549FCAF3133}
5590,3943.0,NINTH,ST,201,225,224,8066,BST,Private,No,,0.08678,OAKWOOD ST, ,FOREST ST, ,{23C134F1-0683-45EA-A352-0B7DDFEAD4E9}
5591,3949.0,JOSEPHINE,DR,100,120,119,8067,Unpaved,Private,No,,0.10098,MILL CREEK RD,MILL CREEK RD,,,{831C20E0-5160-4EFD-BCF6-C100600316A3}
5592,1783.0,OPEN,LN,3001,3033,3030,8069,Unpaved,Private,No,,0.12078,ODI-LO LN, ,KENION RD,KENION RD,{C331F2B5-21AE-4056-8433-68DC2A32D7A8}
5593,1783.0,OPEN,LN,2900,2926,2925,8070,Unpaved,Private,No,,0.03741, , ,ODI-LO LN, ,{69D4BF3F-703A-491B-80E8-0FE92546EC3E}
5594,3794.0,WOODLAWN,DR,200,220,219,8071,Asphalt,Local,,,0.12136,GREENTREE DR, ,N SCOTSWOOD BLVD, ,{F04DBDD8-F343-4E01-916D-D1BE658F5E92}
5595,3794.0,WOODLAWN,DR,100,104,105,8072,Asphalt,Local,,,0.06385,MILLER RD,MILLER RD,GREENTREE DR, ,{5C5EB554-437C-4F6B-80EF-EB0AC2CF8C1B}
5596,976.0,GREENTREE,DR,400,816,815,8073,BST,Local,,,0.41323,,,WOODLAWN DR,WOODLAWN DR,{BCD89DA3-D01D-421C-85B7-9B6F0E9778A6}
